usaquen,24,18,20,26,34,26,28,200,197
chapinero,11,11,6,11,12,6,22,320,249
santaFe,9,6,11,10,3,14,12,408,294
sanCristobal,14,12,14,17,21,20,23,467,323
usme,8,12,10,15,23,13,17,533,371
tunjuelito,4,8,9,5,12,8,10,428,404
bosa,19,18,18,9,17,31,32,374,494
kennedy,26,32,30,29,53,33,50,353,411
fontibon,10,12,13,12,11,16,17,258,391
engativa,21,18,36,36,22,28,33,252,324
suba,29,20,27,41,43,36,41,203,272
teusaquillo,4,9,4,7,10,9,11,334,301
barriosUnidos,8,5,3,6,7,7,4,286,279
martires,3,2,3,4,3,11,6,394,317
antoniNarino,4,3,3,3,8,4,3,422,336
puenteAranda,5,6,16,9,14,14,10,374,351
candelaria,0,0,3,1,1,2,2,422,272
rafaelUribe,18,6,19,19,11,17,18,447,366
ciudadBolivar,19,27,32,36,34,40,37,484,420
sumapaz,0,1,1,0,0,0,0,593,336